Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,IDA only,IDX,1.13869583177694,1.2195597037648,1.25008604357209,1.31146915665638,1.29528602174234,1.33710645528002,1.32788785682065,1.33408634087533,1.23957052666162,1.29637592770469,1.19335555304134,1.11852279346962,1.13742418401863,1.16771140344064,1.15419359614947,1.126982918833,1.11669341452159,1.12658828421099,1.10886113839436,1.09820847799793,1.22569412130633,1.24231945938391,1.05450231366022
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,IDA total,IDA,1.01828696647918,1.0834415636551,1.05061487305201,1.07604162698688,1.11688296704498,1.12926415969467,1.07210916350805,1.05269496859404,0.985615737091776,1.04049165566121,0.984702478794017,0.933969814752116,0.993295256756926,0.996249576057569,0.98370981103875,1.02381529963789,1.01157247164495,1.04938991414999,1.02910507020023,0.983861665368771,1.12690334340754,1.16646036282837,1.06872810338696
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Late-demographic dividend,LTE,2.25662160914385,2.27738849852313,2.37965227304753,2.41674719669897,2.40392344004049,2.45032401509974,2.47596895921654,2.50528693322183,2.67050166858247,2.95020406057044,2.843350421903,2.82522227301418,2.88759199067633,2.99246440001808,3.07003469200653,3.14418113417358,3.12372644945523,3.09977966886726,3.11164579609345,3.19730359095862,3.49550759496739,3.32008597160073,3.64507475174334
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Latin America & Caribbean,LCN,2.9901049361207,2.99020534992308,2.87681995948041,2.96641821341385,3.00683714202848,3.02019490554534,3.09969386975541,3.22650582476205,3.34684927478294,3.74519435539266,3.65198987785371,3.64374780639536,3.6424389090184,3.81643502985058,3.88769054199994,4.15448122583262,4.16026874758183,4.18525021180424,3.98143232858005,3.98906401541648,4.57116114342911,4.35587379683967,4.15132325403636
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Latin America & Caribbean (excluding high income),LAC,2.9944308317529,2.98413450622459,2.85479011133762,2.94880877910221,3.0010222928218,3.03441241437677,3.12387153433312,3.24808498051218,3.35192527704627,3.74349851586784,3.64976839376031,3.64324868211464,3.63370937466566,3.80612093257891,3.87179656485449,4.14191318896093,4.12606327728749,4.13287260155174,3.95415692187533,3.94854203777633,4.4992689487257,4.28904109769354,4.10013694001994
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,2.95911325805347,2.95435538100988,2.83123508393021,2.92142678406814,2.96901643651172,2.953451200176,3.04079058467401,3.13029648817844,3.25581798340492,3.63619360359098,3.57989905839382,3.56724766066337,3.5875087002956,3.74768497718212,3.79181567913944,4.02805888038931,4.03487119479532,4.07747890878242,3.87582608894441,3.87565374184723,4.40539682998217,4.35784982859318,4.15170053850207
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Least developed countries: UN classification,LDC,0.889532959988452,1.00791501594587,1.00773359875659,1.08637497287085,1.11972725445163,1.10093396938786,1.11890990748537,1.17229958743863,1.15784750686937,1.20122329322414,1.00929544391937,0.952758413996789,0.975142558854006,0.9887837810144,0.970436021886945,0.90376078498283,0.89923224691156,0.924348353701321,0.884983516187419,0.833800723297618,0.939318549998384,0.983408987355647,0.872215472838795
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Low & middle income,LMY,1.93802389962961,1.92402520441808,1.86239115442877,1.93455152045582,1.96137247773268,1.99628234784538,2.0446684817259,2.07492294739938,2.19205326258343,2.44301914627351,2.37505340547815,2.41569906788983,2.47646201078204,2.55998427023549,2.62953596062012,2.74530694645952,2.70944255792392,2.69930947256468,2.65422346958244,2.66949957178213,2.85276346297753,2.78440410711623,2.95506884594943
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Low income,LIC,1.16686868928383,1.38416390437139,1.36286444020925,1.51283167852847,1.47639859757652,1.40131943897551,1.35819830809024,1.41719539788217,1.28318695014944,1.39976636261095,1.20684136765629,1.05074327821596,1.06536595099184,1.04684423277116,1.13595449247476,0.957780066115158,1.092118042479,1.06997242522851,1.06633077852915,1.074528490693,1.29285269586118,1.2007372516818,1.09399684921994
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Lower middle income,LMC,1.1360538428441,1.13572104960701,1.08525730846854,1.05056907376604,1.04751682819712,1.08577384236991,1.07363197467845,1.04520821646859,1.0989860502059,1.17312323476271,1.12863181875358,1.15519505449452,1.17016205179954,1.15004431897439,1.1503268871123,1.21050648619665,1.20162561709117,1.22619948367346,1.21199182141697,1.22302267099752,1.38605797546371,1.50453240954088,1.45834942586286
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,2.27333290387647,2.47832208473627,2.42392956931689,2.28961880690547,2.14384198787892,2.04256840463401,2.05764889269017,2.04625666615862,1.98918751872639,2.48867900915879,2.2796468614492,2.28221972842972,2.30058021527024,2.47666748098977,2.80296580885882,3.04581684791401,3.24758375534188,3.17080324846726,2.92458446969139,2.997813932332,3.55854383319466,3.3725319066105,2.96264562948921
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1.70245088899485,1.87736527436852,1.89010012338993,1.76803337150528,1.7435280216744,1.6990720915013,1.74048469513198,1.77652604289074,1.83909012868205,2.12555140737583,1.98049597915299,2.00171137278239,1.97255211192552,2.03163449325065,2.32704587551637,2.46185279075302,2.62121863571005,2.6221385559008,2.2919224379306,2.1810616011495,2.20496653939181,2.12380582661359,2.0036247144091
